session type,session title,sub unit,chair name,chair aff
Paper Session,"Social Cognition, Comparison, and Influence",Information Systems,,
Paper Session,ICA Plenary Interactive Paper/Poster Session I,In Event: ICA Plenary Interactive Paper/Poster Session I,,
Paper Session,Communication History Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
Paper Session,Ethnicity and Race in Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
Paper Session,Feminist Scholarship Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
Paper Session,Journalism Studies Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
Paper Session,"Lesbian, Gay, Bisexual, Transgender, and Queer Studies Interactive Paper Session",In Event: ICA Plenary Interactive Paper/Poster Session I,,
Paper Session,"Philosophy, Theory, and Critique Interactive Poster Session",In Event: ICA Plenary Interactive Paper/Poster Session I,,
Paper Session,Political Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
Paper Session,Popular Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
Paper Session,Visual Communication Studies Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
Paper Session,Persuasion I: Strategies,Information Systems,,
Paper Session,Research Exploring Individual Differences,Information Systems,,
Paper Session,Persuasion II: Message Features,Information Systems,,
Paper Session,Processes Underlying Communication Technology Use,Information Systems,,
Paper Session,Processes Underlying Advertising and Consumer Behavior,Information Systems,,
Paper Session,Multitasking and Selective Attention,Information Systems,,
Paper Session,Computer-Mediated Communication,Information Systems,,
Paper Session,ICA Plenary Interactive Paper/Poster Session II,In Event: ICA Plenary Interactive Paper/Poster Session II,,
Paper Session,Communication and Technology Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
Paper Session,Environmental Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
Paper Session,Global Communication and Social Change Interactive Paper Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
Paper Session,Interactive Papers in Intergroup Communication,In Event: ICA Plenary Interactive Paper/Poster Session II,,
Paper Session,Interpersonal Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
Paper Session,Language and Social Interaction Interactive Paper Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
Paper Session,Organizational Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
Paper Session,CAT Interactive Papers #1,Communication and Technology,,
Paper Session,"Attention, Cognition, and Embodiment",Information Systems,,
Paper Session,CAT Interactive Papers #2,Communication and Technology,,
Paper Session,ICA Plenary Interactive Paper/Poster Session III,In Event: ICA Plenary Interactive Paper/Poster Session III,,
Paper Session,"Children, Adolescents, and the Media Interactive Poster Session",In Event: ICA Plenary Interactive Paper/Poster Session III,,
Paper Session,Game Studies Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
Paper Session,Health Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
Paper Session,Information Systems Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
Paper Session,Instructional and Developmental Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
Paper Session,Mass Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
Paper Session,Lifespan Communication Theme Interactive Paper Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
Paper Session,Emotion,Information Systems,,
Paper Session,CAT Interactive Papers #3,Communication and Technology,,
Paper Session,CAT Interactive Papers #4,Communication and Technology,,
Paper Session,Commercial Aspects of Communication and Technology,Communication and Technology,,
Paper Session,Narrative and Media Entertainment,Information Systems,,
Paper Session,Methodological and Theoretical Advances,Information Systems,,
Paper Session,Motivation,Information Systems,,
Paper Session,Studies of Message Properties,Information Systems,,
