session type,session title,sub unit,chair name,chair aff
Paper Session,ICA Interactive Paper/Poster Session I,In Event: ICA Interactive Paper/Poster Session I,,
Paper Session,"Activism, Communication and Social Justice Interactive Poster Session",In Event: ICA Interactive Paper/Poster Session I,,
Paper Session,"Children, Adolescents and the Media Interactive Poster Session",In Event: ICA Interactive Paper/Poster Session I,,
Paper Session,Computational Methods Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
Paper Session,Environmental Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
Paper Session,Game Studies Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
Paper Session,Public Relations Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
Paper Session,Intergroup Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
Paper Session,Instructional and Developmental Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
Paper Session,Information Systems Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
Paper Session,Mass Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
Paper Session,Theme Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
Paper Session,Organizational Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
Paper Session,ICA Interactive Paper/Poster Session II,In Event: ICA Interactive Paper/Poster Session II,,
Paper Session,Communication History Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
Paper Session,Communication Law and Policy Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
Paper Session,Ethnicity and Race in Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
Paper Session,Feminist Scholarship Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
Paper Session,Health Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
Paper Session,Media Industry Studies Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
Paper Session,"Philosophy, Theory and Critique Interactive Poster Session",In Event: ICA Interactive Paper/Poster Session II,,
Paper Session,Political Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
Paper Session,Popular Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
Paper Session,Public Diplomacy Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
Paper Session,ICA Interactive Paper/Poster Session III,In Event: ICA Interactive Paper/Poster Session III,,
Paper Session,Communication and Technology Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
Paper Session,Communication Science and Biology Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
Paper Session,Global Communication and Social Change Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
Paper Session,Intercultural Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
Paper Session,Interpersonal Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
Paper Session,Journalism Studies Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
Paper Session,Language and Social Interaction Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
Paper Session,"Lesbian, Gay, Bisexual, Transgender, and Queer Studies Interactive Poster Session",In Event: ICA Interactive Paper/Poster Session III,,
Paper Session,Mobile Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
Paper Session,Visual Communication Studies Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
Paper Session,Sports Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
