session type,session title,sub unit,chair name,chair aff
Paper Session,Political Communication in Latin America,Political Communication,,
Paper Session,Top Papers in Organizational Communication,Organizational Communication,,
Paper Session,Online News,Communication and Technology,,
Paper Session,Evaluating Health Communication Interventions,Health Communication,,
Paper Session,What Use Are Social Media to Journalists?,Journalism Studies,,
