session type,session title,sub unit,chair name,chair aff
Paper Session,Extended Session: Climate Change Communication: Testing Messages and Media Effects,Environmental Communication,,
Paper Session,Top Papers on the Lifespan Communication Theme,Theme Sessions,,
Paper Session,Visual Communication in Crisis and Trauma,Visual Communication Studies,,
Paper Session,"The Visual in Politics: Rhetorics, Frames, Effects",Visual Communication Studies,,
Paper Session,Sport Communication Interactive Paper Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
