session type,session title,sub unit,chair name,chair aff
Paper Session,Political Discussion and Deliberation: Theoretical and Methodological Issues,Political Communication,,
Paper Session,The Study of Framing in the Context of Health,Mass Communication,,
Paper Session,Innovations in Cancer Communication Research,Health Communication,,
Paper Session,Making Journalism: How Journalists Produce the News,Journalism Studies,,
Paper Session,Advances in the Study of Advertising and Branding,Mass Communication,,
